id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
14757,Noon Egypt,dzjn,25.349999999999998,31.6,1204.06,0.8,0.031353227702816185,0.8350000000000001,"mixed (revenue, sale)",matched
6887,Noon Egypt,dzk9,14.24,17.8,520.6,0.7999999999999999,0.03040046769950307,1.76,revenue,matched
1,Noon Egypt,dzmj,0.0,0.3,5.54,0.8,0.034666666666666665,0.41000000000000003,fixed,matched
14757,Noon Egypt,dzmj,8.06,10.0,238.08,0.8,0.034666666666666665,0.41000000000000003,"mixed (fixed, revenue, sale)",matched
14757,Noon Egypt,dzmt,11.4,14.25,378.78,0.8,0.037054945691807645,0.8,revenue,matched
14757,Noon Egypt,dzt8,0.74,0.8999999999999999,22.96,0.8,0.029304029304029304,0.24,"mixed (fixed, revenue)",matched
6827,Noon Egypt,esf,8.16,10.2,271.85,0.8,0.029739776951672868,0.24,revenue,matched
14750,Noon Egypt,eug,3.88,4.55,95.98,0.861904761904762,0.034971323378580596,0.43,"mixed (revenue, sale)",matched
7104,Noon Egypt,ex2,0.56,0.7,20.79,0.8000000000000002,0.02693602693602694,0.56,revenue,matched
10923,Noon Egypt,fe3,3.6,4.5,103.18,0.8,0.030595445689785318,0.4,revenue,matched
13864,Noon Egypt,fs5,0.24,0.3,12.81,0.8,0.01873536299765808,0.24,revenue,matched
6669,Noon Egypt,gly,0.24,0.3,12.05,0.8,0.01991701244813278,0.24,revenue,matched
6827,Noon Egypt,gvd,1.28,1.6,34.65,0.8,0.03864088872308953,0.24,revenue,matched
14536,Noon Egypt,hjk,11.68,14.6,341.91999999999996,0.8,0.04590601968965253,2.92,revenue,matched
6827,Noon Egypt,hkd,0.24,0.3,5.09,0.8,0.047151277013752456,0.24,revenue,matched
14757,Noon Egypt,hmq,1.1,1.3,26.46,0.8461538461538461,0.04157218442932729,1.1,revenue,matched
499,Noon Egypt,hms,1.04,1.3,23.93,0.8,0.04346009193480986,1.04,revenue,matched
14750,Noon Egypt,hvv,0.6,0.7,20.06,0.8571428571428572,0.029910269192422734,0.6,revenue,matched
14750,Noon Egypt,jc3,261.56,306.1,7403.44,0.8666666666666667,0.03262233375156838,0.26,"mixed (revenue, sale)",not matched
14757,Noon Egypt,jgf,1.98,2.2,38.77,0.8999999999999999,0.051070415269538295,1.98,revenue,matched
1,Noon Egypt,js6,0.0,201.9,5142.48,0.0,0.0,0.0,revenue,matched
14646,Noon Egypt,ke7,1.28,1.6,32.260000000000005,0.8,0.040230004251656584,0.64,revenue,matched
14197,Noon Egypt,ksy,1.52,1.9,57.370000000000005,0.8,0.03099059214167128,0.24,revenue,matched
14757,Noon Egypt,kup,6.94,8.65,196.57999999999998,0.8000000000000002,0.03209169054441261,0.56,"mixed (fixed, revenue)",matched
13869,Noon Egypt,larva,1.04,1.3,25.83,0.8,0.040263259775454904,1.04,revenue,matched
6671,Noon Egypt,lkv,0.24,0.3,8.98,0.8,0.026726057906458794,0.24,revenue,matched
14757,Noon Egypt,lrk,6.67,7.9,242.61,0.8,0.02780137573952007,0.24,"mixed (revenue, sale)",matched
6827,Noon Egypt,lza,1.6,2.0,40.21,0.8,0.03922814002601657,0.8,revenue,matched
14750,Noon Egypt,nq8,35.580000000000005,41.7,950.17,0.8666666666666667,0.032418952618453865,0.26,"mixed (revenue, sale)",not matched
14750,Noon Egypt,nwq,0.26,0.3,4.75,0.8666666666666667,0.05473684210526316,0.26,revenue,matched
14476,Noon Egypt,nzb,0.24,0.3,7.96,0.8,0.03015075376884422,0.24,revenue,matched
14536,Noon Egypt,ptq,6.76,8.45,217.68,0.8,0.030329542140565765,0.56,revenue,matched
14750,Noon Egypt,pwg,0.6,0.7,17.6,0.8571428571428572,0.03409090909090909,0.6,revenue,matched
14750,Noon Egypt,qe8,0.26,0.3,13.1,0.8666666666666667,0.01984732824427481,0.26,revenue,matched
6706,Noon Egypt,qlk,55.98,65.7,2123.59,0.8666666666666667,0.036211699164345405,0.26,"mixed (revenue, sale)",not matched
14750,Noon Egypt,qqz,2.22,2.6,61.01,0.861904761904762,0.03569256913060018,0.43,"mixed (revenue, sale)",matched
6706,Noon Egypt,qty,24.060000000000002,28.15,685.62,0.8666666666666667,0.03606102635228849,0.26,"mixed (revenue, sale)",matched
7619,Noon Egypt,rf3,332.6,415.75,10486.5,0.8,0.031145717463848723,0.56,revenue,matched
14757,Noon Egypt,rjw,20.53,25.15,620.25,0.8,0.033215472738844495,0.41000000000000003,"mixed (revenue, sale)",not matched
14750,Noon Egypt,rn11,0.52,0.6,12.26,0.8666666666666667,0.04241435562805873,0.26,revenue,matched
14757,Noon Egypt,rzy,18.259999999999998,22.75,1045.21,0.8,0.03000586750397534,0.41000000000000003,"mixed (revenue, sale)",matched
14750,Noon Egypt,sa19,0.86,1.0,29.71,0.861904761904762,0.028948394728275408,0.43,revenue,matched
14757,Noon Egypt,ss88,61.39,75.95,2089.69,0.8,0.0335195530726257,1.04,"mixed (revenue, sale)",not matched
14757,Noon Egypt,ths,3.7800000000000002,4.7,109.67,0.8000000000000002,0.034829202947086406,0.56,"mixed (revenue, sale)",matched
14757,Noon Egypt,ucb,1.08,1.2999999999999998,33.17,0.8,0.03153745072273324,0.24,"mixed (revenue, sale)",matched
14757,Noon Egypt,ufu,6.82,8.5,191.53,0.8,0.037316934627448076,1.58,"mixed (revenue, sale)",matched
14757,Noon Egypt,vlv,6.45,7.6,232.54000000000002,0.85,0.04701627486437613,0.26,"mixed (revenue, sale)",matched
14757,Noon Egypt,wd45,9.15,11.0,272.65,0.8000000000000002,0.03151378728193585,0.56,"mixed (revenue, sale)",matched
