Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 4, 2025",Existing Orders,3011088301,NZ,KSA,227.164,22.7164
"Aug 4, 2025",Existing Orders,000904997,R199,KSA,431.8566,43.185660000000006
"Aug 4, 2025",Existing Orders,3011087995,R199,KSA,85.358,8.5358
"Aug 4, 2025",Existing Orders,3011083801,Z45,KSA,76.881,7.6881
"Aug 6, 2025",Existing Orders,3011096807,R199,KSA,232.1718,23.21718
"Aug 6, 2025",Existing Orders,000905931,R199,KSA,117.355,11.735500000000002
"Aug 6, 2025",Existing Orders,3011095101,R199,KSA,41.846,4.1846
"Aug 6, 2025",Existing Orders,3011094953,R199,KSA,162.8858,16.28858
"Aug 6, 2025",Existing Orders,000905721,R199,KSA,282.191,28.219099999999997
"Aug 6, 2025",Existing Orders,3011095081,Z47,KSA,183.5246,18.35246
"Aug 6, 2025",Existing Orders,3011096683,ZF,KSA,128.233,12.823300000000001
"Aug 9, 2025",Existing Orders,3011111757,DG25,KSA,1065.848,106.5848
"Aug 9, 2025",Existing Orders,3011113443,NZ,KSA,124.068,12.4068
"Aug 9, 2025",Existing Orders,3011112299,NZ,KSA,228.7712,22.87712
"Aug 9, 2025",Existing Orders,3011110577,R199,KSA,74.3722,7.437220000000001
"Aug 20, 2025",New Orders,3011165811,R199,KSA,94.5602,9.45602
"Aug 20, 2025",Existing Orders,3011166701,R199,KSA,129.654,12.9654
"Aug 20, 2025",New Orders,3011167027,R199,KSA,202.125,20.212500000000002
"Aug 2, 2025",Existing Orders,3011073951,NZ,KSA,352.555,35.255500000000005
"Aug 2, 2025",Existing Orders,3011073997,NZ,KSA,230.055,23.0055
"Aug 2, 2025",Existing Orders,3011071991,R199,KSA,346.675,34.667500000000004
"Aug 2, 2025",Existing Orders,3011071933,ZF,KSA,38.22,3.822
"Aug 2, 2025",Existing Orders,000904133,R199,KSA,56.448,5.6448
"Aug 2, 2025",Existing Orders,3011074131,R199,KSA,24.402,2.4402000000000004
"Aug 14, 2025",New Orders,3011140013,R199,KSA,46.8832,4.68832
"Aug 14, 2025",Existing Orders,3011137017,R199,KSA,54.684,5.4684
"Aug 14, 2025",Existing Orders,3011138199,R199,KSA,83.202,8.3202
"Aug 14, 2025",Existing Orders,3011138321,Z45,KSA,134.1424,13.414240000000001
"Aug 11, 2025",Existing Orders,3011124773,R199,KSA,422.8798,42.287980000000005
"Aug 11, 2025",Existing Orders,000907573,Z41,KSA,390.0106,39.00106
"Aug 11, 2025",Existing Orders,000907699,Z45,KSA,53.4492,5.34492
"Aug 7, 2025",Existing Orders,3011101993,ZF,KSA,96.187,9.6187
"Aug 12, 2025",Existing Orders,3011128965,Z41,KSA,384.503,38.4503
"Aug 21, 2025",Existing Orders,000911555,R199,KSA,97.5296,9.752960000000002
"Aug 21, 2025",Existing Orders,3011174169,ZF,KSA,188.2482,18.82482
"Aug 28, 2025",Existing Orders,3011207523,Z45,KSA,301.7028,30.170280000000005
"Aug 13, 2025",Existing Orders,000908357,R199,KSA,492.8518,49.285180000000004
"Aug 13, 2025",New Orders,3011135009,R199,KSA,148.323,14.832300000000002
"Aug 13, 2025",Existing Orders,3011131503,Z41,KSA,1215.7684,121.57684
"Aug 13, 2025",Existing Orders,3011132575,ZF,KSA,91.973,9.1973
"Aug 13, 2025",Existing Orders,000908159,ZF,KSA,99.862,9.9862
"Aug 13, 2025",Existing Orders,3011132591,ZF,KSA,91.973,9.1973
"Aug 13, 2025",Existing Orders,3011134111,ZF,KSA,50.8816,5.08816
"Aug 13, 2025",Existing Orders,3011133575,R199,KSA,64.386,6.4386
"Aug 5, 2025",Existing Orders,3011093097,NZ,KSA,164.052,16.4052
"Aug 5, 2025",Existing Orders,3011093691,R199,KSA,189.287,18.928700000000003
"Aug 5, 2025",Existing Orders,3011090829,R199,KSA,13.769,1.3769
"Aug 24, 2025",Existing Orders,3011187635,Z50,KSA,101.4594,10.145940000000001
"Aug 27, 2025",Existing Orders,3011199005,R199,KSA,268.324,26.832400000000003
"Aug 27, 2025",Existing Orders,3011199495,R199,KSA,84.9954,8.499540000000001
"Aug 27, 2025",New Orders,3011203235,R199,KSA,72.0006,7.200060000000001
"Aug 29, 2025",Existing Orders,3011209131,R199,KSA,206.2116,20.621160000000003
"Aug 29, 2025",Existing Orders,3011212065,R199,KSA,227.0464,22.70464
"Aug 29, 2025",Existing Orders,3011211023,Z45,KSA,225.6058,22.56058
"Aug 29, 2025",Existing Orders,3011210097,ZF,KSA,100.303,10.0303
"Aug 29, 2025",New Orders,3011214445,R188,KSA,43.0122,4.30122
"Aug 26, 2025",New Orders,3011195665,R199,KSA,287.9534,28.79534
"Aug 31, 2025",Existing Orders,000915647,R136,KSA,367.353,36.7353
"Aug 31, 2025",New Orders,000915631,R199,KSA,139.9244,13.99244
"Aug 12, 2025",New Orders,3011125849,R199,KSA,38.71,3.8710000000000004
"Aug 4, 2025",Existing Orders,3011087885,R199,KSA,84.133,8.4133
"Aug 10, 2025",Existing Orders,000907073,ZF,KSA,188.5226,18.85226
"Aug 8, 2025",Existing Orders,3011104893,NZ,KSA,286.3266,28.63266
"Aug 3, 2025",Existing Orders,3011078871,R188,KSA,714.812,71.4812
"Aug 19, 2025",Existing Orders,3011160253,Z47,KSA,85.9264,8.592640000000001
"Aug 18, 2025",Existing Orders,3011155267,NZ,KSA,105.056,10.505600000000001
"Aug 13, 2025",Existing Orders,3011135919,R199,KSA,101.822,10.182200000000002
"Aug 4, 2025",Existing Orders,3011084711,ZF,KSA,78.694,7.869400000000001
"Aug 13, 2025",Existing Orders,3011135095,Z45,KSA,90.9342,9.09342
"Aug 9, 2025",Existing Orders,3011109459,R199,KSA,178.4678,17.846780000000003
"Aug 15, 2025",New Orders,3011140757,Z45,KSA,123.578,12.357800000000001
"Aug 3, 2025",New Orders,3011080397,ZF,KSA,40.866,4.0866
"Aug 19, 2025",Existing Orders,3011164323,ZF,KSA,78.89,7.889
"Aug 19, 2025",New Orders,3011163461,R199,KSA,337.7864,33.77864
"Aug 18, 2025",Existing Orders,3011157871,R199,KSA,199.3026,19.930260000000004
