Order Date,Order ID,Coupon Code,Customer Type,Order Country,Channels,Gender,Brand,Category,Gross Revenue
"Aug 7, 2025, 5:29:03 AM",APPORKSA80034007334642,KYF,Returning,Saudi Arabia,App,WOMEN,THE LLINE,FLAT SHOES,896.52
"Aug 7, 2025, 3:22:14 AM",APPORKSA80034007583976,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",CONVERSE,SNEAKERS,321.83
"Aug 7, 2025, 2:23:35 AM",APPENKSA80033007575227,DH40,Returning,Saudi Arabia,App,MEN,BIRKENSTOCK,SLIPPERS,666.64
"Aug 7, 2025, 12:33:40 AM",APPORKSA80034006976630,KYF,NEW,Saudi Arabia,App,WOMEN,SCHUTZ,FLAT SHOES,298.84
"Aug 7, 2025, 12:01:35 AM",APPORKSA80034007315117,KYT,Returning,Saudi Arabia,App,GIRL,POLO RALPH LAUREN,SNEAKERS,283.52
"Aug 6, 2025, 11:41:20 PM",APPORKSA80034007567946,KYF,Returning,Saudi Arabia,App,GIRL,GOLDEN GOOSE,SNEAKERS,904.19
"Aug 6, 2025, 11:41:20 PM",APPORKSA80034007567946,KYF,Returning,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,2628.27
"Aug 6, 2025, 11:25:43 PM",APPENKSA80033007583193,KYF,NEW,Saudi Arabia,App,MEN,ASICS,SNEAKERS,712.62
"Aug 6, 2025, 11:20:39 PM",APPENKSA80033007561875,KYF,NEW,Saudi Arabia,App,GIRL,ADIDAS,SNEAKERS,291.18
"Aug 6, 2025, 11:06:50 PM",APPENKSA80033007561757,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,490.41
"Aug 6, 2025, 10:37:47 PM",APPENKSA80033007552809,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",RAINS,POUCHES,91.95
"Aug 6, 2025, 10:31:44 PM",APPORKSA80034007282090,KYF,NEW,Saudi Arabia,App,MEN,FORSA,LOAFERS,1111.07
"Aug 6, 2025, 9:16:02 PM",APPORKSA80034007513976,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,567.03
